Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS001-23_ITS2_48_S97_L001_R2_001	(1.0, 2.6438393341776734)	(2.0, 0.7191966708883663)	(3.0, 0.48851094626379593)	(4.0, 0.3799529582051746)	(5.0, 0.3392437126831916)	(6.0, 0.2578252216392256)	(7.0, 0.2374705988782341)	(8.0, 0.1085579880586213)	(9.0, 0.12212773656594898)	('>10', 3.5597973584222906)	('>50', 2.202822507689524)	('>100', 8.845214402026416)	('>500', 2.428984982811652)	('>1k', 22.30640492129546)	('>5k', 17.360231590374525)	('>10k+', 37.9998190700199)
NGS069-23_ITS2_29_S45_L001_R1_001	(1.0, 3.046021566001832)	(2.0, 1.1191768271195996)	(3.0, 0.5962365212488547)	(4.0, 0.4228627810275566)	(5.0, 0.40171964197617877)	(6.0, 0.2960039467192896)	(7.0, 0.23680315737543167)	(8.0, 0.2819085206850377)	(9.0, 0.29177531890901404)	('>10', 5.564874198322645)	('>50', 3.8748326168158433)	('>100', 14.359010501092396)	('>500', 9.589118331101558)	('>1k', 33.4244837550215)	('>5k', 10.398195785467616)	('>10k+', 16.096976531115654)
NGS069-23_ITS2_29_S45_L001_R2_001	(1.0, 2.3299739234618366)	(2.0, 0.5497216153358235)	(3.0, 0.36789061949397417)	(4.0, 0.2875466910987385)	(5.0, 0.23962224258228204)	(6.0, 0.14377334554936924)	(7.0, 0.12826837691169216)	(8.0, 0.16914511241102262)	(9.0, 0.17760236803157375)	('>10', 2.5442243991824656)	('>50', 1.7605187116780603)	('>100', 7.232363098174642)	('>500', 4.3075621960673764)	('>1k', 17.836352103742335)	('>5k', 0.0)	('>10k+', 61.92543519627881)
NGS069-23_ITS2_30_S54_L001_R1_001	(1.0, 3.0560844845980366)	(2.0, 1.2235141595430052)	(3.0, 0.6563221650528704)	(4.0, 0.5239773663385056)	(5.0, 0.330861996785912)	(6.0, 0.2998014828019284)	(7.0, 0.2552363975205607)	(8.0, 0.22687679779605394)	(9.0, 0.3038528541911437)	('>10', 4.491620413509973)	('>50', 4.151305216815892)	('>100', 14.005590892517116)	('>500', 11.006225607368094)	('>1k', 59.46873016516091)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_ITS2_30_S54_L001_R2_001	(1.0, 1.9419573525638427)	(2.0, 0.5293791948574592)	(3.0, 0.3848802819754487)	(4.0, 0.27009142594768326)	(5.0, 0.24983456900160703)	(6.0, 0.24308228335291499)	(7.0, 0.14179799862253373)	(8.0, 0.16205485556860996)	(9.0, 0.15800348417939472)	('>10', 2.81435265837486)	('>50', 1.2964388445488797)	('>100', 4.958878580399465)	('>500', 7.137165930667531)	('>1k', 10.618644411133168)	('>5k', 12.768572161676728)	('>10k+', 56.32486596712988)
NGS069-23_ITS2_31_S63_L001_R1_001	(1.0, 2.7204208747325236)	(2.0, 1.169399353968189)	(3.0, 0.5887884859140533)	(4.0, 0.45794660015537475)	(5.0, 0.3611781221463521)	(6.0, 0.31892709653677886)	(7.0, 0.2098921917378801)	(8.0, 0.2834907524771368)	(9.0, 0.29439424295702665)	('>10', 4.290523503836666)	('>50', 3.223344373117444)	('>100', 12.581265077482929)	('>500', 5.274563519646727)	('>1k', 49.38736012866119)	('>5k', 18.83850567662973)	('>10k+', 0.0)
NGS069-23_ITS2_31_S63_L001_R2_001	(1.0, 2.011693993539682)	(2.0, 0.616047212113778)	(3.0, 0.372081612626242)	(4.0, 0.31620122391680633)	(5.0, 0.1908110833980728)	(6.0, 0.2371509179376048)	(7.0, 0.11448665003884369)	(8.0, 0.16355235719834813)	(9.0, 0.18399640184814164)	('>10', 2.3687833067560753)	('>50', 1.6505158713933297)	('>100', 8.282563955786346)	('>500', 1.308418857586785)	('>1k', 19.92885472461872)	('>5k', 13.328154175355387)	('>10k+', 48.92668765588584)
NGS069-23_ITS2_32_S72_L001_R1_001	(1.0, 3.286689358330182)	(2.0, 1.1417868784555263)	(3.0, 0.6429304662596574)	(4.0, 0.5114628919264502)	(5.0, 0.4682406757073136)	(6.0, 0.27013885136960397)	(7.0, 0.36558791218686404)	(8.0, 0.31696291894033535)	(9.0, 0.1296666486574099)	('>10', 5.298323338195832)	('>50', 3.727916148900535)	('>100', 21.101446143317666)	('>500', 9.552109784429197)	('>1k', 53.186737983323425)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-23_ITS2_32_S72_L001_R2_001	(1.0, 2.1322960001440743)	(2.0, 0.605111027067913)	(3.0, 0.35658328380787724)	(4.0, 0.2665370000180093)	(5.0, 0.20710645271669637)	(6.0, 0.28094440542438814)	(7.0, 0.08824535811407064)	(8.0, 0.17288886487654653)	(9.0, 0.19449997298611488)	('>10', 2.8400597907324365)	('>50', 1.6388423649755974)	('>100', 8.269850703261476)	('>500', 6.2456102436652445)	('>1k', 17.778738271471536)	('>5k', 0.0)	('>10k+', 58.92268626073802)
NGS069-23_ITS2_35_S26_L001_R1_001	(1.0, 2.6463918900893693)	(2.0, 1.0830999066293183)	(3.0, 0.6162464985994398)	(4.0, 0.4908630118714152)	(5.0, 0.38015206082432973)	(6.0, 0.3441376550620248)	(7.0, 0.17740429505135388)	(8.0, 0.20274776577297585)	(9.0, 0.22809123649459784)	('>10', 3.684140322795785)	('>50', 2.3422702414299055)	('>100', 8.39935974389756)	('>500', 10.205415499533146)	('>1k', 40.74429771908763)	('>5k', 28.45538215286114)	('>10k+', 0.0)
NGS069-23_ITS2_35_S26_L001_R2_001	(1.0, 1.8967587034813926)	(2.0, 0.493530745631586)	(3.0, 0.33613445378151263)	(4.0, 0.2507669734560491)	(5.0, 0.1734026944110978)	(6.0, 0.17607042817126853)	(7.0, 0.12138188608776844)	(8.0, 0.19207683073229292)	(9.0, 0.09603841536614646)	('>10', 2.2702414299052953)	('>50', 1.8620781645991729)	('>100', 3.8935574229691876)	('>500', 2.2222222222222223)	('>1k', 8.351340536214485)	('>5k', 10.790983059890623)	('>10k+', 66.8734160330799)
NGS069-23_ITS2_36_S37_L001_R1_001	(1.0, 2.1800467310320504)	(2.0, 0.9853194021954769)	(3.0, 0.6116915751884672)	(4.0, 0.4540845567164837)	(5.0, 0.44085879292862495)	(6.0, 0.2711281576511044)	(7.0, 0.23916589516377904)	(8.0, 0.22042939646431248)	(9.0, 0.12895119693162282)	('>10', 2.8876250936824936)	('>50', 1.60141956531323)	('>100', 10.657761319049508)	('>500', 9.523652074240621)	('>1k', 36.798483445752325)	('>5k', 16.816558656262398)	('>10k+', 16.182824141427503)
NGS069-23_ITS2_36_S37_L001_R2_001	(1.0, 1.5595379799850106)	(2.0, 0.38795573777719)	(3.0, 0.24137018912842217)	(4.0, 0.21161222060573998)	(5.0, 0.20940792664109684)	(6.0, 0.1785478111360931)	(7.0, 0.07715028876250937)	(8.0, 0.1498919895957325)	(9.0, 0.16862848829519905)	('>10', 1.8703434289996914)	('>50', 0.8299166776881365)	('>100', 4.652162412379314)	('>500', 3.1532425164219897)	('>1k', 5.606621699069788)	('>5k', 0.0)	('>10k+', 80.70361063351409)
NGS069-24-ITS2-1_S192_L001_R1_001	(1.0, 4.566397051295177)	(2.0, 1.624517934541483)	(3.0, 0.9726630490426947)	(4.0, 0.8327360840926932)	(5.0, 0.76789188082318)	(6.0, 0.7166990887683015)	(7.0, 0.5733592710146411)	(8.0, 0.4641479812975666)	(9.0, 0.36858810279512644)	('>10', 9.689089109586703)	('>50', 6.88713695778301)	('>100', 24.139107880277123)	('>500', 12.207774478686733)	('>1k', 36.18989112999556)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-1_S192_L001_R2_001	(1.0, 4.9486365653049385)	(2.0, 1.4880038223951402)	(3.0, 0.7986075560561073)	(4.0, 0.5870106822292754)	(5.0, 0.6996348247500085)	(6.0, 0.5938363878365926)	(7.0, 0.40612948363537077)	(8.0, 0.27302822429268625)	(9.0, 0.30715675232927203)	('>10', 8.900720111941572)	('>50', 3.173953107402478)	('>100', 20.272345653731954)	('>500', 5.5697757755707995)	('>1k', 51.9811610525238)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-2_S197_L001_R1_001	(1.0, 4.4467776302380875)	(2.0, 1.815767532347219)	(3.0, 1.019053206929562)	(4.0, 0.8646512058796283)	(5.0, 0.7411296050396813)	(6.0, 0.6484884044097212)	(7.0, 0.41070932279282335)	(8.0, 0.39526912268783004)	(9.0, 0.5002624834017848)	('>10', 9.301176543248001)	('>50', 6.768983726029089)	('>100', 28.30188679245283)	('>500', 8.590927338418306)	('>1k', 36.194917086125436)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-2_S197_L001_R2_001	(1.0, 4.866751073093907)	(2.0, 1.3710897693234103)	(3.0, 0.9078837661736096)	(4.0, 0.5311428836117715)	(5.0, 0.509526603464781)	(6.0, 0.31498008214186457)	(7.0, 0.6484884044097212)	(8.0, 0.4446777630238088)	(9.0, 0.30571596207886853)	('>10', 7.377327610165827)	('>50', 3.9094586665843187)	('>100', 21.736713707809656)	('>500', 4.270759349041164)	('>1k', 52.80548435907729)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-3_S202_L001_R1_001	(1.0, 4.619829881176547)	(2.0, 1.5193818583208882)	(3.0, 0.9642231023959483)	(4.0, 0.9609765599636386)	(5.0, 0.6980066229465619)	(6.0, 0.6428154015972989)	(7.0, 0.4999675345756769)	(8.0, 0.5194467891695345)	(9.0, 0.32140770079864944)	('>10', 9.59353288747484)	('>50', 6.8047529381209015)	('>100', 24.277644308811116)	('>500', 17.12226478800078)	('>1k', 31.455749626647624)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-3_S202_L001_R2_001	(1.0, 4.876306733329005)	(2.0, 1.3830270761638854)	(3.0, 0.8570872021297318)	(4.0, 0.8051425232127783)	(5.0, 0.4869813648464385)	(6.0, 0.467502110252581)	(7.0, 0.4999675345756769)	(8.0, 0.4934744497110577)	(9.0, 0.35062658268943575)	('>10', 8.337120966171028)	('>50', 3.938055970391533)	('>100', 17.29108499448088)	('>500', 11.310953834166613)	('>1k', 48.90266865787936)	('>5k', 0.0)	('>10k+', 0.0)
NGS069-24-ITS2-4_S207_L001_R1_001	(1.0, 4.717831392124237)	(2.0, 1.6638935108153077)	(3.0, 0.9983361064891847)	(4.0, 0.6794231835829173)	(5.0, 0.5719633943427621)	(6.0, 0.7071547420965058)	(7.0, 0.6066278424847477)	(8.0, 0.6100942872989462)	(9.0, 0.37437603993344426)	('>10', 10.641985579589573)	('>50', 7.123544093178038)	('>100', 26.56336661120355)	('>500', 18.5142817526345)	('>1k', 26.22712146422629)	('>5k', 0.0)	('>10k+', 0.0)
