Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NGS001-23_ITS2_48_S97_L001_R1_001	(17.0, 2.0)	(18.0, 8.0)	(19.0, 29.0)	(20.0, 56.0)	(21.0, 127.0)	(22.0, 162.0)	(23.0, 209.0)	(24.0, 240.0)	(25.0, 290.0)	(26.0, 377.0)	(27.0, 389.0)	(28.0, 480.0)	(29.0, 603.0)	(30.0, 699.0)	(31.0, 971.0)	(32.0, 1321.0)	(33.0, 2005.0)	(34.0, 3340.0)	(35.0, 6241.0)	(36.0, 14185.0)	(37.0, 12482.0)															
NGS001-23_ITS2_48_S97_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 31.0)	(13.0, 39.0)	(14.0, 31.0)	(15.0, 28.0)	(16.0, 48.0)	(17.0, 71.0)	(18.0, 107.0)	(19.0, 184.0)	(20.0, 276.0)	(21.0, 316.0)	(22.0, 379.0)	(23.0, 457.0)	(24.0, 561.0)	(25.0, 755.0)	(26.0, 1005.0)	(27.0, 1325.0)	(28.0, 1803.0)	(29.0, 2562.0)	(30.0, 3599.0)	(31.0, 5169.0)	(32.0, 6680.0)	(33.0, 7490.0)	(34.0, 6723.0)	(35.0, 3980.0)	(36.0, 589.0)	(37.0, 3.0)							
NGS069-23_ITS2_29_S45_L001_R1_001	(13.0, 2.0)	(14.0, 13.0)	(15.0, 41.0)	(16.0, 30.0)	(17.0, 14.0)	(18.0, 15.0)	(19.0, 29.0)	(20.0, 73.0)	(21.0, 148.0)	(22.0, 188.0)	(23.0, 223.0)	(24.0, 218.0)	(25.0, 274.0)	(26.0, 448.0)	(27.0, 529.0)	(28.0, 520.0)	(29.0, 521.0)	(30.0, 669.0)	(31.0, 767.0)	(32.0, 1016.0)	(33.0, 1460.0)	(34.0, 2376.0)	(35.0, 4635.0)	(36.0, 12353.0)	(37.0, 44383.0)											
NGS069-23_ITS2_29_S45_L001_R2_001	(11.0, 14.0)	(12.0, 93.0)	(13.0, 114.0)	(14.0, 99.0)	(15.0, 53.0)	(16.0, 40.0)	(17.0, 60.0)	(18.0, 78.0)	(19.0, 173.0)	(20.0, 266.0)	(21.0, 324.0)	(22.0, 357.0)	(23.0, 366.0)	(24.0, 458.0)	(25.0, 560.0)	(26.0, 721.0)	(27.0, 1089.0)	(28.0, 1762.0)	(29.0, 2989.0)	(30.0, 4777.0)	(31.0, 8051.0)	(32.0, 10970.0)	(33.0, 11757.0)	(34.0, 11236.0)	(35.0, 9808.0)	(36.0, 4577.0)	(37.0, 153.0)									
NGS069-23_ITS2_30_S54_L001_R1_001	(15.0, 4.0)	(16.0, 9.0)	(17.0, 5.0)	(18.0, 21.0)	(19.0, 39.0)	(20.0, 86.0)	(21.0, 181.0)	(22.0, 241.0)	(23.0, 218.0)	(24.0, 280.0)	(25.0, 318.0)	(26.0, 405.0)	(27.0, 407.0)	(28.0, 462.0)	(29.0, 474.0)	(30.0, 624.0)	(31.0, 795.0)	(32.0, 1103.0)	(33.0, 1588.0)	(34.0, 2767.0)	(35.0, 5496.0)	(36.0, 13421.0)	(37.0, 45105.0)													
NGS069-23_ITS2_30_S54_L001_R2_001	(11.0, 7.0)	(12.0, 72.0)	(13.0, 123.0)	(14.0, 62.0)	(15.0, 47.0)	(16.0, 49.0)	(17.0, 52.0)	(18.0, 72.0)	(19.0, 188.0)	(20.0, 296.0)	(21.0, 324.0)	(22.0, 325.0)	(23.0, 358.0)	(24.0, 418.0)	(25.0, 535.0)	(26.0, 616.0)	(27.0, 985.0)	(28.0, 1544.0)	(29.0, 2443.0)	(30.0, 3944.0)	(31.0, 6173.0)	(32.0, 8661.0)	(33.0, 10478.0)	(34.0, 12458.0)	(35.0, 14141.0)	(36.0, 9137.0)	(37.0, 541.0)									
NGS069-23_ITS2_31_S63_L001_R1_001	(14.0, 2.0)	(15.0, 6.0)	(16.0, 8.0)	(17.0, 9.0)	(18.0, 8.0)	(19.0, 35.0)	(20.0, 60.0)	(21.0, 123.0)	(22.0, 164.0)	(23.0, 181.0)	(24.0, 179.0)	(25.0, 220.0)	(26.0, 283.0)	(27.0, 368.0)	(28.0, 340.0)	(29.0, 401.0)	(30.0, 527.0)	(31.0, 604.0)	(32.0, 771.0)	(33.0, 1148.0)	(34.0, 1800.0)	(35.0, 3642.0)	(36.0, 10250.0)	(37.0, 52242.0)												
NGS069-23_ITS2_31_S63_L001_R2_001	(11.0, 6.0)	(12.0, 72.0)	(13.0, 117.0)	(14.0, 68.0)	(15.0, 22.0)	(16.0, 29.0)	(17.0, 47.0)	(18.0, 72.0)	(19.0, 142.0)	(20.0, 295.0)	(21.0, 280.0)	(22.0, 330.0)	(23.0, 319.0)	(24.0, 375.0)	(25.0, 485.0)	(26.0, 644.0)	(27.0, 909.0)	(28.0, 1331.0)	(29.0, 1917.0)	(30.0, 3046.0)	(31.0, 4571.0)	(32.0, 6675.0)	(33.0, 9699.0)	(34.0, 12344.0)	(35.0, 14524.0)	(36.0, 13697.0)	(37.0, 1355.0)									
NGS069-23_ITS2_32_S72_L001_R1_001	(15.0, 5.0)	(16.0, 3.0)	(17.0, 5.0)	(18.0, 5.0)	(19.0, 21.0)	(20.0, 39.0)	(21.0, 78.0)	(22.0, 106.0)	(23.0, 128.0)	(24.0, 139.0)	(25.0, 194.0)	(26.0, 213.0)	(27.0, 224.0)	(28.0, 258.0)	(29.0, 295.0)	(30.0, 436.0)	(31.0, 503.0)	(32.0, 722.0)	(33.0, 1012.0)	(34.0, 1657.0)	(35.0, 3183.0)	(36.0, 9139.0)	(37.0, 37162.0)													
NGS069-23_ITS2_32_S72_L001_R2_001	(11.0, 2.0)	(12.0, 38.0)	(13.0, 70.0)	(14.0, 36.0)	(15.0, 29.0)	(16.0, 40.0)	(17.0, 45.0)	(18.0, 53.0)	(19.0, 112.0)	(20.0, 185.0)	(21.0, 232.0)	(22.0, 223.0)	(23.0, 267.0)	(24.0, 300.0)	(25.0, 384.0)	(26.0, 486.0)	(27.0, 725.0)	(28.0, 1001.0)	(29.0, 1577.0)	(30.0, 2715.0)	(31.0, 4354.0)	(32.0, 6382.0)	(33.0, 8510.0)	(34.0, 10732.0)	(35.0, 11558.0)	(36.0, 5334.0)	(37.0, 137.0)									
NGS069-23_ITS2_35_S26_L001_R1_001	(13.0, 3.0)	(14.0, 17.0)	(15.0, 43.0)	(16.0, 25.0)	(17.0, 17.0)	(18.0, 19.0)	(19.0, 31.0)	(20.0, 53.0)	(21.0, 107.0)	(22.0, 157.0)	(23.0, 166.0)	(24.0, 202.0)	(25.0, 234.0)	(26.0, 325.0)	(27.0, 486.0)	(28.0, 440.0)	(29.0, 425.0)	(30.0, 542.0)	(31.0, 739.0)	(32.0, 886.0)	(33.0, 1175.0)	(34.0, 1864.0)	(35.0, 3669.0)	(36.0, 10802.0)	(37.0, 52543.0)											
NGS069-23_ITS2_35_S26_L001_R2_001	(11.0, 5.0)	(12.0, 55.0)	(13.0, 120.0)	(14.0, 115.0)	(15.0, 49.0)	(16.0, 52.0)	(17.0, 57.0)	(18.0, 73.0)	(19.0, 152.0)	(20.0, 292.0)	(21.0, 354.0)	(22.0, 405.0)	(23.0, 420.0)	(24.0, 513.0)	(25.0, 575.0)	(26.0, 728.0)	(27.0, 1017.0)	(28.0, 1340.0)	(29.0, 2328.0)	(30.0, 3973.0)	(31.0, 6511.0)	(32.0, 10077.0)	(33.0, 12353.0)	(34.0, 13905.0)	(35.0, 13025.0)	(36.0, 6175.0)	(37.0, 301.0)									
NGS069-23_ITS2_36_S37_L001_R1_001	(14.0, 2.0)	(15.0, 2.0)	(16.0, 8.0)	(17.0, 8.0)	(18.0, 12.0)	(19.0, 26.0)	(20.0, 55.0)	(21.0, 151.0)	(22.0, 199.0)	(23.0, 244.0)	(24.0, 232.0)	(25.0, 280.0)	(26.0, 267.0)	(27.0, 324.0)	(28.0, 393.0)	(29.0, 559.0)	(30.0, 883.0)	(31.0, 705.0)	(32.0, 939.0)	(33.0, 1299.0)	(34.0, 2137.0)	(35.0, 4158.0)	(36.0, 12362.0)	(37.0, 65487.0)												
NGS069-23_ITS2_36_S37_L001_R2_001	(11.0, 4.0)	(12.0, 52.0)	(13.0, 120.0)	(14.0, 99.0)	(15.0, 53.0)	(16.0, 36.0)	(17.0, 48.0)	(18.0, 77.0)	(19.0, 163.0)	(20.0, 302.0)	(21.0, 358.0)	(22.0, 423.0)	(23.0, 382.0)	(24.0, 453.0)	(25.0, 580.0)	(26.0, 741.0)	(27.0, 1032.0)	(28.0, 1612.0)	(29.0, 2707.0)	(30.0, 4172.0)	(31.0, 6864.0)	(32.0, 9789.0)	(33.0, 13124.0)	(34.0, 17945.0)	(35.0, 19902.0)	(36.0, 9402.0)	(37.0, 292.0)									
NGS069-24-ITS2-1_S192_L001_R1_001	(2.0, 7.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 8.0)	(19.0, 22.0)	(20.0, 54.0)	(21.0, 70.0)	(22.0, 129.0)	(23.0, 139.0)	(24.0, 208.0)	(25.0, 227.0)	(26.0, 296.0)	(27.0, 363.0)	(28.0, 430.0)	(29.0, 515.0)	(30.0, 736.0)	(31.0, 936.0)	(32.0, 1284.0)	(33.0, 1926.0)	(34.0, 2790.0)	(35.0, 4693.0)	(36.0, 7926.0)	(37.0, 6541.0)
NGS069-24-ITS2-1_S192_L001_R2_001	(2.0, 11.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 2.0)	(7.0, 2.0)	(8.0, 0.0)	(9.0, 2.0)	(10.0, 1.0)	(11.0, 14.0)	(12.0, 47.0)	(13.0, 55.0)	(14.0, 58.0)	(15.0, 58.0)	(16.0, 74.0)	(17.0, 28.0)	(18.0, 66.0)	(19.0, 158.0)	(20.0, 169.0)	(21.0, 184.0)	(22.0, 200.0)	(23.0, 263.0)	(24.0, 350.0)	(25.0, 436.0)	(26.0, 658.0)	(27.0, 936.0)	(28.0, 1428.0)	(29.0, 2075.0)	(30.0, 2848.0)	(31.0, 3765.0)	(32.0, 4129.0)	(33.0, 4206.0)	(34.0, 3891.0)	(35.0, 2503.0)	(36.0, 657.0)	(37.0, 27.0)
