Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
NGS001-23_ITS2_41_S55_L001_R1_001	(301, 89780.0)																											
NGS001-23_ITS2_41_S55_L001_R2_001	(301, 89780.0)																											
NGS001-23_ITS2_42_S61_L001_R1_001	(301, 86404.0)																											
NGS001-23_ITS2_42_S61_L001_R2_001	(301, 86404.0)																											
NGS001-23_ITS2_43_S67_L001_R1_001	(301, 77316.0)																											
NGS001-23_ITS2_43_S67_L001_R2_001	(301, 77316.0)																											
NGS001-23_ITS2_44_S73_L001_R1_001	(301, 65202.0)																											
NGS001-23_ITS2_44_S73_L001_R2_001	(301, 65202.0)																											
NGS001-23_ITS2_47_S91_L001_R1_001	(301, 88074.0)																											
NGS001-23_ITS2_47_S91_L001_R2_001	(301, 88074.0)																											
NGS001-23_ITS2_48_S97_L001_R1_001	(301, 44216.0)																											
NGS001-23_ITS2_48_S97_L001_R2_001	(301, 44216.0)																											
NGS069-23_ITS2_29_S45_L001_R1_001	(301, 70945.0)																											
NGS069-23_ITS2_29_S45_L001_R2_001	(301, 70945.0)																											
NGS069-23_ITS2_30_S54_L001_R1_001	(301, 74049.0)																											
NGS069-23_ITS2_30_S54_L001_R2_001	(301, 74049.0)																											
NGS069-23_ITS2_31_S63_L001_R1_001	(301, 73371.0)																											
NGS069-23_ITS2_31_S63_L001_R2_001	(301, 73371.0)																											
NGS069-23_ITS2_32_S72_L001_R1_001	(301, 55527.0)																											
NGS069-23_ITS2_32_S72_L001_R2_001	(301, 55527.0)																											
NGS069-23_ITS2_35_S26_L001_R1_001	(301, 74970.0)																											
NGS069-23_ITS2_35_S26_L001_R2_001	(301, 74970.0)																											
NGS069-23_ITS2_36_S37_L001_R1_001	(301, 90732.0)																											
NGS069-23_ITS2_36_S37_L001_R2_001	(301, 90732.0)																											
NGS069-24-ITS2-5_S211_L001_R1_001	(30, 10.0)	(40, 5.0)	(50, 3.0)	(60, 2.0)	(70, 3.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 1.0)	(210, 0.0)	(220, 4.0)	(230, 5.0)	(240, 0.0)	(250, 2.0)	(260, 2.0)	(270, 136.0)	(280, 8240.0)	(290, 4906.0)	(300, 19498.0)
NGS069-24-ITS2-5_S211_L001_R2_001	(30, 12.0)	(40, 0.0)	(50, 1.0)	(60, 1.0)	(70, 1.0)	(80, 16.0)	(90, 6.0)	(100, 0.0)	(110, 6.0)	(120, 70.0)	(130, 1.0)	(140, 1.0)	(150, 1.0)	(160, 0.0)	(170, 1.0)	(180, 0.0)	(190, 0.0)	(200, 1.0)	(210, 0.0)	(220, 4.0)	(230, 5.0)	(240, 0.0)	(250, 2.0)	(260, 2.0)	(270, 84.0)	(280, 3865.0)	(290, 5968.0)	(300, 22769.0)
NGS069-24-ITS2-6_S215_L001_R1_001	(30, 9.0)	(40, 9.0)	(50, 2.0)	(60, 3.0)	(70, 5.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 1.0)	(150, 1.0)	(160, 0.0)	(170, 1.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 4.0)	(240, 1.0)	(250, 4.0)	(260, 2.0)	(270, 152.0)	(280, 6893.0)	(290, 4389.0)	(300, 21192.0)
NGS069-24-ITS2-6_S215_L001_R2_001	(30, 10.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 2.0)	(80, 14.0)	(90, 3.0)	(100, 2.0)	(110, 9.0)	(120, 60.0)	(130, 4.0)	(140, 4.0)	(150, 1.0)	(160, 1.0)	(170, 2.0)	(180, 0.0)	(190, 1.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 4.0)	(240, 1.0)	(250, 4.0)	(260, 2.0)	(270, 95.0)	(280, 3427.0)	(290, 5629.0)	(300, 23393.0)
NGS069-24-ITS2-7_S220_L001_R1_001	(30, 6.0)	(40, 4.0)	(50, 1.0)	(60, 6.0)	(70, 1.0)	(80, 1.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 4.0)	(240, 1.0)	(250, 1.0)	(260, 0.0)	(270, 60.0)	(280, 11664.0)	(290, 3160.0)	(300, 19216.0)
NGS069-24-ITS2-7_S220_L001_R2_001	(30, 11.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 12.0)	(90, 7.0)	(100, 0.0)	(110, 11.0)	(120, 56.0)	(130, 4.0)	(140, 3.0)	(150, 0.0)	(160, 1.0)	(170, 0.0)	(180, 1.0)	(190, 0.0)	(200, 3.0)	(210, 1.0)	(220, 2.0)	(230, 4.0)	(240, 0.0)	(250, 1.0)	(260, 0.0)	(270, 37.0)	(280, 6484.0)	(290, 2823.0)	(300, 24664.0)
NGS069-24-ITS2-8_S225_L001_R1_001	(30, 8.0)	(40, 8.0)	(50, 0.0)	(60, 1.0)	(70, 3.0)	(80, 2.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 1.0)	(220, 0.0)	(230, 4.0)	(240, 0.0)	(250, 1.0)	(260, 0.0)	(270, 73.0)	(280, 9867.0)	(290, 3847.0)	(300, 23182.0)
NGS069-24-ITS2-8_S225_L001_R2_001	(30, 12.0)	(40, 1.0)	(50, 1.0)	(60, 0.0)	(70, 0.0)	(80, 9.0)	(90, 9.0)	(100, 1.0)	(110, 9.0)	(120, 52.0)	(130, 5.0)	(140, 4.0)	(150, 0.0)	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 4.0)	(240, 0.0)	(250, 1.0)	(260, 0.0)	(270, 52.0)	(280, 5724.0)	(290, 3158.0)	(300, 27953.0)
NGS069-24-ITS2-9_S193_L001_R1_001	(30, 6.0)	(40, 8.0)	(50, 2.0)	(60, 4.0)	(70, 2.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 0.0)	(140, 0.0)	(150, 0.0)	(160, 0.0)	(170, 0.0)	(180, 0.0)	(190, 1.0)	(200, 0.0)	(210, 0.0)	(220, 1.0)	(230, 0.0)	(240, 1.0)	(250, 4.0)	(260, 0.0)	(270, 48.0)	(280, 8117.0)	(290, 2555.0)	(300, 16747.0)
NGS069-24-ITS2-9_S193_L001_R2_001	(30, 6.0)	(40, 0.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 7.0)	(90, 6.0)	(100, 0.0)	(110, 6.0)	(120, 26.0)	(130, 3.0)	(140, 4.0)	(150, 1.0)	(160, 1.0)	(170, 0.0)	(180, 0.0)	(190, 0.0)	(200, 0.0)	(210, 0.0)	(220, 0.0)	(230, 2.0)	(240, 1.0)	(250, 4.0)	(260, 0.0)	(270, 34.0)	(280, 4297.0)	(290, 2444.0)	(300, 20653.0)
