Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS001-23_18S_48_S146_L001_R2_001	(1.0, 6.399182508772607)	(2.0, 0.9910153086800602)	(3.0, 0.4540546793660587)	(4.0, 0.37404079743955576)	(5.0, 0.3325878224655844)	(6.0, 0.30077507422974586)	(7.0, 0.18220028535071145)	(8.0, 0.20822889754367022)	(9.0, 0.2602861219295878)	('>10', 3.763544518567077)	('>50', 2.4775382717001504)	('>100', 5.621216211005283)	('>500', 0.5012917903829098)	('>1k', 11.307021941156057)	('>5k', 13.39798712065708)	('>10k+', 53.429028650753864)
NGS069-23_18S_29_S98_L001_R1_001	(1.0, 0.8113526721383373)	(2.0, 0.4636300983647641)	(3.0, 0.19735605538500092)	(4.0, 0.3383246663742873)	(5.0, 0.2662740429797632)	(6.0, 0.16916233318714366)	(7.0, 0.06578535179500031)	(8.0, 0.07518325919428608)	(9.0, 0.1409686109892864)	('>10', 2.878892299981204)	('>50', 1.1371467953135768)	('>100', 5.056074180815738)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 88.39984963348161)
NGS069-23_18S_29_S98_L001_R2_001	(1.0, 5.688866612367646)	(2.0, 1.4535430110895307)	(3.0, 1.0243719065221477)	(4.0, 0.5388133575590502)	(5.0, 0.5012217279619071)	(6.0, 0.41350792556857335)	(7.0, 0.350855209573335)	(8.0, 0.47616064156381177)	(9.0, 0.39471211077000184)	('>10', 5.435123112586931)	('>50', 5.435123112586931)	('>100', 5.933212204749076)	('>500', 4.000375916295972)	('>1k', 24.547334126934402)	('>5k', 0.0)	('>10k+', 43.80677902387068)
NGS069-23_18S_30_S102_L001_R1_001	(1.0, 0.4220621496962511)	(2.0, 0.16297449344706724)	(3.0, 0.12223087008530044)	(4.0, 0.06268249747964125)	(5.0, 0.052235414566367704)	(6.0, 0.04074362336176681)	(7.0, 0.047534227255394614)	(8.0, 0.05850366431433183)	(9.0, 0.028207123865838558)	('>10', 1.360210195308215)	('>50', 0.8801667354432958)	('>100', 2.257614617558412)	('>500', 1.4787845863738698)	('>1k', 4.812971098145121)	('>5k', 0.0)	('>10k+', 88.21307870309913)
NGS069-23_18S_30_S102_L001_R2_001	(1.0, 4.23472505889543)	(2.0, 0.8963597139588698)	(3.0, 0.5202647290810224)	(4.0, 0.37191615171253806)	(5.0, 0.3578125897796188)	(6.0, 0.26326648941449327)	(7.0, 0.22670169921803585)	(8.0, 0.1964051587695426)	(9.0, 0.26326648941449327)	('>10', 3.5044739632576096)	('>50', 2.3845466749546858)	('>100', 5.736493227678501)	('>500', 2.200155661535408)	('>1k', 17.100307666591796)	('>5k', 8.051566801259918)	('>10k+', 53.69173792447803)
NGS069-23_18S_31_S106_L001_R1_001	(1.0, 0.8216232818858941)	(2.0, 0.42232972433387084)	(3.0, 0.28795208477309375)	(4.0, 0.2457191123397067)	(5.0, 0.17277125086385625)	(6.0, 0.23036166781847503)	(7.0, 0.10750211164862167)	(8.0, 0.33786377946709667)	(9.0, 0.2073255010366275)	('>10', 2.1078092605390464)	('>50', 0.9483221991860554)	('>100', 4.319281271596406)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 89.79113875451125)
NGS069-23_18S_31_S106_L001_R2_001	(1.0, 5.355908776779543)	(2.0, 1.4973508408200875)	(3.0, 0.7717115871918913)	(4.0, 0.6296552253704983)	(5.0, 0.5375105582431083)	(6.0, 0.2994701681640175)	(7.0, 0.4568839745066421)	(8.0, 0.39929355755202334)	(9.0, 0.414651002073255)	('>10', 5.540198111034324)	('>50', 2.956308070337096)	('>100', 4.9335790524456735)	('>500', 8.75374337710205)	('>1k', 21.41979574598787)	('>5k', 0.0)	('>10k+', 46.033939952391925)
NGS069-23_18S_32_S110_L001_R1_001	(1.0, 1.3790587376869756)	(2.0, 0.6421014228383801)	(3.0, 0.5910251732944181)	(4.0, 0.4086099963516964)	(5.0, 0.36483035388544327)	(6.0, 0.5253557095950383)	(7.0, 0.15322874863188618)	(8.0, 0.17511856986501276)	(9.0, 0.19700839109813936)	('>10', 1.8314483765049252)	('>50', 3.334549434512951)	('>100', 2.5173294418095584)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 87.88033564392558)
NGS069-23_18S_32_S110_L001_R2_001	(1.0, 5.5819044144472825)	(2.0, 1.6490331995622036)	(3.0, 1.02882159795695)	(4.0, 0.7880335643925575)	(5.0, 0.40131338927398763)	(6.0, 0.6129149945275447)	(7.0, 0.45968624589565854)	(8.0, 0.4086099963516964)	(9.0, 0.5253557095950383)	('>10', 6.2021160160525355)	('>50', 2.7581174753739512)	('>100', 6.829624224735498)	('>500', 3.8015322874863187)	('>1k', 7.6760306457497265)	('>5k', 61.27690623859905)	('>10k+', 0.0)
NGS069-23_18S_35_S89_L001_R1_001	(1.0, 0.7115573502128124)	(2.0, 0.30557677616501144)	(3.0, 0.21608643457382953)	(4.0, 0.21826912583215105)	(5.0, 0.15278838808250572)	(6.0, 0.1702499181490778)	(7.0, 0.13750954927425516)	(8.0, 0.15715377059914876)	(9.0, 0.09822110662446797)	('>10', 1.8705664083815343)	('>50', 0.4998362981556259)	('>100', 6.0482374768089056)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 89.41394739714067)
