Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
NGS069-24-18S-4_S17_L001_R1_001	(2.0, 295.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 5.0)	(19.0, 16.0)	(20.0, 21.0)	(21.0, 45.0)	(22.0, 150.0)	(23.0, 428.0)	(24.0, 670.0)	(25.0, 720.0)	(26.0, 762.0)	(27.0, 819.0)	(28.0, 888.0)	(29.0, 1139.0)	(30.0, 1614.0)	(31.0, 2158.0)	(32.0, 2971.0)	(33.0, 4363.0)	(34.0, 7107.0)	(35.0, 11933.0)	(36.0, 24722.0)	(37.0, 32403.0)
NGS069-24-18S-4_S17_L001_R2_001	(2.0, 300.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 12.0)	(13.0, 115.0)	(14.0, 101.0)	(15.0, 95.0)	(16.0, 130.0)	(17.0, 265.0)	(18.0, 566.0)	(19.0, 774.0)	(20.0, 851.0)	(21.0, 896.0)	(22.0, 940.0)	(23.0, 942.0)	(24.0, 1078.0)	(25.0, 1228.0)	(26.0, 1516.0)	(27.0, 1829.0)	(28.0, 2283.0)	(29.0, 3130.0)	(30.0, 4272.0)	(31.0, 6052.0)	(32.0, 8756.0)	(33.0, 12069.0)	(34.0, 15779.0)	(35.0, 17734.0)	(36.0, 10777.0)	(37.0, 742.0)
NGS069-24-18S-5_S21_L001_R1_001	(2.0, 149.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 16.0)	(18.0, 13.0)	(19.0, 9.0)	(20.0, 13.0)	(21.0, 18.0)	(22.0, 107.0)	(23.0, 355.0)	(24.0, 525.0)	(25.0, 599.0)	(26.0, 635.0)	(27.0, 758.0)	(28.0, 928.0)	(29.0, 1095.0)	(30.0, 1459.0)	(31.0, 2071.0)	(32.0, 2776.0)	(33.0, 4183.0)	(34.0, 6324.0)	(35.0, 10722.0)	(36.0, 20585.0)	(37.0, 23313.0)
NGS069-24-18S-5_S21_L001_R2_001	(2.0, 153.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 14.0)	(13.0, 98.0)	(14.0, 121.0)	(15.0, 74.0)	(16.0, 86.0)	(17.0, 150.0)	(18.0, 370.0)	(19.0, 535.0)	(20.0, 602.0)	(21.0, 667.0)	(22.0, 636.0)	(23.0, 652.0)	(24.0, 803.0)	(25.0, 954.0)	(26.0, 1084.0)	(27.0, 1389.0)	(28.0, 1757.0)	(29.0, 2379.0)	(30.0, 3239.0)	(31.0, 4593.0)	(32.0, 6843.0)	(33.0, 9768.0)	(34.0, 13218.0)	(35.0, 15482.0)	(36.0, 10254.0)	(37.0, 734.0)
NGS069-24-18S-6_S25_L001_R1_001	(2.0, 133.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 10.0)	(20.0, 21.0)	(21.0, 63.0)	(22.0, 248.0)	(23.0, 655.0)	(24.0, 799.0)	(25.0, 740.0)	(26.0, 791.0)	(27.0, 904.0)	(28.0, 1196.0)	(29.0, 1747.0)	(30.0, 2356.0)	(31.0, 3552.0)	(32.0, 4834.0)	(33.0, 7189.0)	(34.0, 10060.0)	(35.0, 13841.0)	(36.0, 18814.0)	(37.0, 11160.0)
NGS069-24-18S-6_S25_L001_R2_001	(2.0, 137.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 13.0)	(13.0, 116.0)	(14.0, 101.0)	(15.0, 93.0)	(16.0, 83.0)	(17.0, 194.0)	(18.0, 433.0)	(19.0, 612.0)	(20.0, 659.0)	(21.0, 689.0)	(22.0, 689.0)	(23.0, 704.0)	(24.0, 792.0)	(25.0, 930.0)	(26.0, 1103.0)	(27.0, 1511.0)	(28.0, 1978.0)	(29.0, 2761.0)	(30.0, 3978.0)	(31.0, 5899.0)	(32.0, 8318.0)	(33.0, 11485.0)	(34.0, 13762.0)	(35.0, 14035.0)	(36.0, 7549.0)	(37.0, 496.0)
NGS069-24-18S-7_S30_L001_R1_001	(2.0, 102.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 8.0)	(19.0, 10.0)	(20.0, 9.0)	(21.0, 38.0)	(22.0, 65.0)	(23.0, 244.0)	(24.0, 400.0)	(25.0, 532.0)	(26.0, 577.0)	(27.0, 648.0)	(28.0, 777.0)	(29.0, 981.0)	(30.0, 1269.0)	(31.0, 1949.0)	(32.0, 2649.0)	(33.0, 3986.0)	(34.0, 6548.0)	(35.0, 11704.0)	(36.0, 23765.0)	(37.0, 36486.0)
NGS069-24-18S-7_S30_L001_R2_001	(2.0, 103.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 15.0)	(13.0, 91.0)	(14.0, 124.0)	(15.0, 74.0)	(16.0, 99.0)	(17.0, 138.0)	(18.0, 293.0)	(19.0, 412.0)	(20.0, 486.0)	(21.0, 547.0)	(22.0, 564.0)	(23.0, 675.0)	(24.0, 690.0)	(25.0, 893.0)	(26.0, 1032.0)	(27.0, 1285.0)	(28.0, 1595.0)	(29.0, 2074.0)	(30.0, 2759.0)	(31.0, 4069.0)	(32.0, 6098.0)	(33.0, 9508.0)	(34.0, 14863.0)	(35.0, 21851.0)	(36.0, 20226.0)	(37.0, 2183.0)
NGS069-24-18S-8_S35_L001_R1_001	(2.0, 78.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 1.0)	(19.0, 8.0)	(20.0, 7.0)	(21.0, 14.0)	(22.0, 82.0)	(23.0, 204.0)	(24.0, 334.0)	(25.0, 377.0)	(26.0, 479.0)	(27.0, 512.0)	(28.0, 608.0)	(29.0, 804.0)	(30.0, 1091.0)	(31.0, 1488.0)	(32.0, 2099.0)	(33.0, 3177.0)	(34.0, 5254.0)	(35.0, 9221.0)	(36.0, 19507.0)	(37.0, 31490.0)
NGS069-24-18S-8_S35_L001_R2_001	(2.0, 76.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 8.0)	(13.0, 75.0)	(14.0, 96.0)	(15.0, 58.0)	(16.0, 85.0)	(17.0, 153.0)	(18.0, 280.0)	(19.0, 434.0)	(20.0, 509.0)	(21.0, 542.0)	(22.0, 583.0)	(23.0, 657.0)	(24.0, 780.0)	(25.0, 832.0)	(26.0, 997.0)	(27.0, 1186.0)	(28.0, 1458.0)	(29.0, 1907.0)	(30.0, 2658.0)	(31.0, 3765.0)	(32.0, 5652.0)	(33.0, 8540.0)	(34.0, 12439.0)	(35.0, 17270.0)	(36.0, 14476.0)	(37.0, 1320.0)
NGS069-24-18S-9_S2_L001_R1_001	(2.0, 67.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 2.0)	(20.0, 10.0)	(21.0, 20.0)	(22.0, 73.0)	(23.0, 152.0)	(24.0, 294.0)	(25.0, 421.0)	(26.0, 468.0)	(27.0, 560.0)	(28.0, 719.0)	(29.0, 907.0)	(30.0, 1176.0)	(31.0, 1591.0)	(32.0, 2252.0)	(33.0, 3350.0)	(34.0, 5358.0)	(35.0, 9636.0)	(36.0, 21915.0)	(37.0, 45952.0)
NGS069-24-18S-9_S2_L001_R2_001	(2.0, 68.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 9.0)	(13.0, 108.0)	(14.0, 104.0)	(15.0, 84.0)	(16.0, 103.0)	(17.0, 155.0)	(18.0, 276.0)	(19.0, 378.0)	(20.0, 474.0)	(21.0, 552.0)	(22.0, 600.0)	(23.0, 709.0)	(24.0, 753.0)	(25.0, 904.0)	(26.0, 1032.0)	(27.0, 1366.0)	(28.0, 1599.0)	(29.0, 2057.0)	(30.0, 2842.0)	(31.0, 4053.0)	(32.0, 6109.0)	(33.0, 9810.0)	(34.0, 15345.0)	(35.0, 22394.0)	(36.0, 20877.0)	(37.0, 2165.0)
